Dataset,Element,Region,Sub-region,Year,Millions of metric tons
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,"Asia, Total",2022,507.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,"Asia, Total",2032,654.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Central Africa,2022,8.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Central Africa,2032,12.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Central and South Asia,2022,352.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Central and South Asia,2032,461.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Commonwealth of Independent States,2022,19.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Commonwealth of Independent States,2032,24.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,East Africa,2022,49.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,East Africa,2032,76.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,IFSA Countries,"IFSA Countries, Total",2022,721.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,IFSA Countries,"IFSA Countries, Total",2032,961.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2022,24.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2032,30.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,North Africa,"North Africa, Total",2022,46.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,North Africa,"North Africa, Total",2032,61.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Other Asia,2022,9.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Other Asia,2032,12.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Southeast Asia,2022,126.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Southeast Asia,2032,156.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Southern Africa,2022,19.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Southern Africa,2032,28.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2022,142.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2032,214.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,West Africa,2022,65.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,West Africa,2032,97.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,"Asia, Total",2022,173.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,"Asia, Total",2032,207.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Central Africa,2022,7.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Central Africa,2032,9.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Central and South Asia,2022,80.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Central and South Asia,2032,105.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Commonwealth of Independent States,2022,26.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Commonwealth of Independent States,2032,30.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,East Africa,2022,20.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,East Africa,2032,25.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,IFSA Countries,"IFSA Countries, Total",2022,327.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,IFSA Countries,"IFSA Countries, Total",2032,387.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2022,22.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2032,26.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,North Africa,"North Africa, Total",2022,43.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,North Africa,"North Africa, Total",2032,51.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Other Asia,2022,2.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Other Asia,2032,2.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Southeast Asia,2022,53.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Southeast Asia,2032,57.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Southern Africa,2022,15.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Southern Africa,2032,17.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2022,81.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2032,99.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,West Africa,2022,37.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,West Africa,2032,46.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,"Asia, Total",2022,680.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,"Asia, Total",2032,861.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,Central Africa,2022,15.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,Central Africa,2032,21.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Central and South Asia,2022,432.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Central and South Asia,2032,566.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Commonwealth of Independent States,2022,46.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Commonwealth of Independent States,2032,54.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,East Africa,2022,70.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,East Africa,2032,102.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,IFSA Countries,"IFSA Countries, Total",2022,1049.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,IFSA Countries,"IFSA Countries, Total",2032,1348.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2022,47.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2032,57.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,North Africa,"North Africa, Total",2022,90.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,North Africa,"North Africa, Total",2032,112.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Other Asia,2022,12.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Other Asia,2032,15.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Southeast Asia,2022,179.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Southeast Asia,2032,214.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,Southern Africa,2022,34.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,Southern Africa,2032,45.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2022,223.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2032,314.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,West Africa,2022,103.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Sub-Saharan Africa,West Africa,2032,144.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,"Asia, Total",2022,512.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,"Asia, Total",2032,565.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,Central Africa,2022,6.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,Central Africa,2032,8.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Central and South Asia,2022,384.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Central and South Asia,2032,426.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Commonwealth of Independent States,2022,16.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Commonwealth of Independent States,2032,19.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,East Africa,2022,52.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,East Africa,2032,67.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,IFSA Countries,"IFSA Countries, Total",2022,693.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,IFSA Countries,"IFSA Countries, Total",2032,791.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2022,17.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2032,20.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,North Africa,"North Africa, Total",2022,33.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,North Africa,"North Africa, Total",2032,43.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Other Asia,2022,1.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Other Asia,2032,1.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Southeast Asia,2022,109.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Southeast Asia,2032,118.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,Southern Africa,2022,16.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,Southern Africa,2032,17.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2022,129.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2032,162.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,West Africa,2022,54.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Sub-Saharan Africa,West Africa,2032,69.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,"Asia, Total",2022,168.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,"Asia, Total",2032,296.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Central Africa,2022,8.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Central Africa,2032,12.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Central and South Asia,2022,47.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Central and South Asia,2032,140.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Commonwealth of Independent States,2022,29.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Commonwealth of Independent States,2032,35.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,East Africa,2022,18.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,East Africa,2032,35.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,IFSA Countries,"IFSA Countries, Total",2022,355.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,IFSA Countries,"IFSA Countries, Total",2032,557.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2022,30.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2032,37.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,North Africa,"North Africa, Total",2022,56.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,North Africa,"North Africa, Total",2032,69.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Other Asia,2022,10.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Other Asia,2032,13.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Southeast Asia,2022,70.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Southeast Asia,2032,96.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Southern Africa,2022,18.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Southern Africa,2032,27.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2022,93.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2032,151.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2022,48.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2032,74.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2022,30.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2032,37.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,North Africa,"North Africa, Total",2022,56.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,North Africa,"North Africa, Total",2032,69.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Other Asia,2022,10.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Other Asia,2032,13.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Southeast Asia,2022,70.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Southeast Asia,2032,96.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Southern Africa,2022,18.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,Southern Africa,2032,27.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2022,93.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2032,151.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2022,48.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2032,74.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2032,151.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2022,48.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2032,74.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2032,151.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2022,48.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Sub-Saharan Africa,West Africa,2032,74.8
"Data source: USDA, Economic Research Service",,,,,
